Name,Type,Version,Date Appear,Author,Solve Date
Reverted contour approximation behavior,bug,4.10.0,2024-05-31 12:01:29+00:00,mshabunin,2024-05-31 16:28:03+00:00
Fixed offset computation for ND case in MinMaxIdx HAL.,bug,4.10.0,2024-05-31 07:10:12+00:00,asmorkalov,2024-05-31 08:07:00+00:00
macOs error: no matching function for call to 'dgeev_',bug,4.10.0,2024-05-30 11:05:25+00:00,thewoz,2024-05-31 16:24:27+00:00
"core: hal: With GCC14, some hal_intrin128.*_CPP_EMULATOR tests are failed.",bug,Not specified,2024-05-30 10:58:17+00:00,Kumataro,2024-06-02 11:14:05+00:00
fixed marker generation in charuco board,bug,4.10.0,2024-05-30 09:44:13+00:00,AleksandrPanov,2024-05-31 14:03:24+00:00
"imgproc: fix contour approximation, added test",bug,4.10.0,2024-05-30 09:25:44+00:00,mshabunin,2024-05-30 11:13:26+00:00
Tests added for mixed type arithmetic operations,test,4.10.0,2024-05-30 03:45:08+00:00,savuor,2024-06-02 11:28:06+00:00
Slight changes,incomplete,Not specified,2024-05-29 18:33:40+00:00,salmanmkc,2024-06-10 15:57:15+00:00
Have the findContours_legacy overload call findContours_legacy.,bug,4.10.0,2024-05-29 14:42:52+00:00,vrabaud,2024-05-30 09:41:39+00:00
Fix Homography computation.,category: calib3d,4.10.0,2024-05-29 09:24:33+00:00,vrabaud,2024-05-31 17:51:59+00:00
The difference between opencv2.4.9 and opencv4.8.1 in cv::blur,wontfix,Not specified,2024-05-29 05:23:58+00:00,absdfge,2024-06-05 13:58:08+00:00
New findContours finds different results,bug,4.10.0,2024-05-28 15:22:56+00:00,vrabaud,2024-05-31 09:37:44+00:00
Port G-API ONNXRT backend into V2 API,category: g-api / gapi,4.10.0,2024-05-28 10:34:08+00:00,ujjayant-kadian,2024-05-31 14:01:47+00:00
Slice layer parser fix to support empty input case,category: dnn (onnx),4.10.0,2024-05-28 08:27:40+00:00,Abdurrahheem,2024-05-31 10:13:36+00:00
Add Size parameter to PtrStepSz<T>,incomplete,Not specified,2024-05-28 07:09:46+00:00,srinath2468,2024-05-31 16:35:32+00:00
Added branch with variadic version of Trust tuple,category: gpu/cuda (contrib),4.10.0,2024-05-28 06:57:39+00:00,asmorkalov,2024-05-30 12:47:31+00:00
Update gzguts.h: Fixed webassembly compile error,Uncategorized,Not specified,2024-05-28 03:18:31+00:00,alblib,2024-05-28 03:45:46+00:00
[modules/videoio/CMakeFiles/opencv_videoio.dir/build.make:329: lib/libopencv_videoio.so.4.9.0] Error ,duplicate,Not specified,2024-05-27 15:49:30+00:00,enjoyaday,2024-05-27 16:46:01+00:00
Don't work cv2.imshow on rockchip 3588e ,category: build/install,Not specified,2024-05-27 14:15:11+00:00,ViktorPavlovA,2024-05-28 06:19:32+00:00
使用alpha混合时，生成的照片颜色不正确,question (invalid tracker),Not specified,2024-05-27 07:19:26+00:00,wangkd0,2024-05-27 08:17:34+00:00
minor cosmetic changes,category: build/install,4.10.0,2024-05-26 19:57:04+00:00,sturkmen72,2024-05-27 10:32:08+00:00
"[For educational use] Added new K-means implementation, object detection implementation and paralel canny_edge_detector",Uncategorized,Not specified,2024-05-26 13:37:22+00:00,103som,2024-05-27 06:22:05+00:00
3rdparty: libjpeg-turbo: CI has failed if NASM is missing.,bug,4.10.0,2024-05-26 08:10:15+00:00,Kumataro,2024-05-27 10:32:09+00:00
imgcodecs: support IMWRITE_JPEG_LUMA/CHROMA_QUALITY with internal libjpeg-turbo,category: imgcodecs,4.10.0,2024-05-26 00:04:14+00:00,Kumataro,2024-05-27 14:33:43+00:00
3rdparty: libjpeg-turbo: IMWRITE_JPEG_LUMA/CHROMA_QUALITY doesn't work with internal libjpeg-turbo,bug,4.10.0,2024-05-25 23:47:51+00:00,Kumataro,2024-05-27 14:33:44+00:00
Compiling with CUDA 11.8 breaks PyTorch convolution,bug,Not specified,2024-05-25 15:17:43+00:00,minostauros,2024-05-26 16:50:01+00:00
Prevent signed integer overflow in LshTable,category: flann,4.10.0,2024-05-24 21:48:24+00:00,vrabaud,2024-05-27 12:55:08+00:00
remap to dst array in python,feature,Not specified,2024-05-24 14:49:42+00:00,Daniel63656,2024-05-25 12:21:10+00:00
Signed distance field,feature,Not specified,2024-05-24 14:15:16+00:00,Daniel63656,2024-05-25 12:23:14+00:00
Support VS 2022 17.1x.y in OpenCVDetectCXXCompiler.cmake,category: build/install,4.10.0,2024-05-24 09:11:35+00:00,bebuch,2024-05-25 08:10:14+00:00
Use leftarrow in color conversion Doc,category: documentation,4.10.0,2024-05-24 06:58:12+00:00,FantasqueX,2024-05-24 17:49:57+00:00
Tests for cvSmooth -> tests for boxFilter,test,4.10.0,2024-05-24 00:05:10+00:00,savuor,2024-05-25 08:25:51+00:00
Tests for cv::rotate() added,category: core,4.10.0,2024-05-23 23:18:50+00:00,savuor,2024-05-25 08:23:32+00:00
Support VS 2022 17.1x.y,category: build/install,4.10.0,2024-05-23 14:07:08+00:00,bebuch,2024-05-23 15:24:37+00:00
Fixed CMake Missing variable is: CMAKE_ASM_COMPILE_OBJECT in PNG build,category: build/install,4.10.0,2024-05-23 11:42:08+00:00,asmorkalov,2024-05-23 14:14:01+00:00
Fix the compilation of OpenCV.js by deleting the option --memory-init-file of em++,category: build/install,4.10.0,2024-05-23 09:04:10+00:00,arobase-che,2024-05-24 07:28:16+00:00
Compilation of opencv.js fails with last version of Emscripten toolchain.,bug,Not specified,2024-05-23 08:53:32+00:00,arobase-che,2024-05-24 07:28:17+00:00
Disambiguate cv::format,category: build/install,4.10.0,2024-05-23 08:44:41+00:00,vrabaud,2024-05-23 09:51:16+00:00
Fixed width and height order in HAL call for LUT,bug,4.10.0,2024-05-23 07:31:20+00:00,asmorkalov,2024-05-23 14:52:44+00:00
core: deployment compatibility for old mac after Accelerate New LAPACK fix,category: core,4.10.0,2024-05-23 03:38:18+00:00,fengyuentau,2024-05-30 14:03:07+00:00
Libjpeg-turbo update to version 3.0.3,category: 3rdparty,4.10.0,2024-05-22 12:11:41+00:00,asmorkalov,2024-05-25 10:03:12+00:00
Replace non-ascii character in comment,Uncategorized,4.10.0,2024-05-22 11:04:54+00:00,lackhole,2024-05-22 19:24:14+00:00
Unicode character in comment cause a warning(maybe an error) in MSVC,category: documentation,4.10.0,2024-05-22 10:51:02+00:00,lackhole,2024-05-22 19:26:07+00:00
ffmpeg/4.x: update FFmpeg wrapper 2024.05,category: videoio,4.10.0,2024-05-22 08:59:45+00:00,opencv-alalek,2024-05-23 16:54:34+00:00
KleidiCV HAL update to version 0.1.0.,optimization,4.10.0,2024-05-22 07:23:00+00:00,asmorkalov,2024-05-23 13:55:44+00:00
Fixed out-of-bound access in Einsum layer for 0d,bug,5.0,2024-05-22 05:59:38+00:00,Abdurrahheem,2024-05-22 09:37:30+00:00
YUV codes for cvtColor: descriptions added,category: documentation,4.10.0,2024-05-22 00:22:52+00:00,savuor,2024-05-25 10:12:03+00:00
 pre: OpenCV 4.10.0 (version++),Uncategorized,4.10.0,2024-05-21 08:34:52+00:00,asmorkalov,2024-05-21 13:58:41+00:00
Support Global_Pool_2D ops in .tflite model,feature,4.10.0,2024-05-21 04:10:03+00:00,CNOCycle,2024-05-31 16:31:21+00:00
Small differences in findChessboardCorners between aarch64 and amd64.,question (invalid tracker),Not specified,2024-05-20 12:24:14+00:00,hgaiser,2024-05-22 09:30:48+00:00
OpenJPEG update to 2.5.2.,category: 3rdparty,4.10.0,2024-05-20 10:45:22+00:00,asmorkalov,2024-05-20 16:57:07+00:00
dynamic input shape in onnx model,Uncategorized,Not specified,2024-05-20 09:27:30+00:00,LaurentBerger,2024-05-31 07:47:27+00:00
Xcode fails to install app which uses OpenCV XCframework,bug,Not specified,2024-05-20 01:30:51+00:00,pa-akiya-ozawa,2024-06-14 04:52:49+00:00
Added dynamic input support to Pad layer,feature,5.0,2024-05-17 14:21:31+00:00,LaurentBerger,2024-05-31 07:48:08+00:00
Added bool support to dnn,category: dnn (onnx),5.0,2024-05-17 09:47:39+00:00,alexlyulkov,2024-06-06 09:52:06+00:00
Skip Test_Caffe_layers.Concat with Vulkan due to sporadic failures,category: dnn,4.10.0,2024-05-17 08:48:21+00:00,asmorkalov,2024-05-17 09:55:52+00:00
[MSVC] opencv failed to run test Imgproc_EMD on x86 mode,bug,4.10.0,2024-05-17 03:19:35+00:00,Zhaojun-Liu,2024-05-17 09:17:02+00:00
"""LNK2001 unresolved symbol"" Erros about ""cv::"" Classes and Methods When Building a C++ Project with OpenCV and CUDA",question (invalid tracker),Not specified,2024-05-16 13:33:22+00:00,mericgeren,2024-05-22 10:17:14+00:00
Check range for type-dependant function tables,bug,4.10.0,2024-05-16 13:28:15+00:00,asmorkalov,2024-05-17 07:48:40+00:00
Added Ubuntu 24.04 to regular CI.,CI/CD: GitHub Actions (GHA),Not specified,2024-05-16 11:57:27+00:00,asmorkalov,2024-05-16 14:03:44+00:00
Add support for scalar and matrix multiplication in einsum,feature,5.0,2024-05-15 19:45:47+00:00,Abdurrahheem,2024-05-21 10:36:12+00:00
typo,category: documentation,4.10.0,2024-05-15 14:17:11+00:00,LaurentBerger,2024-05-16 05:46:56+00:00
Updated openpose sample to run using onnx,category: samples,5.0,2024-05-15 13:20:15+00:00,gursimarsingh,2024-06-11 09:25:03+00:00
Disable more streaming test in G-API due to instability.,test,4.10.0,2024-05-15 12:42:25+00:00,asmorkalov,2024-05-15 13:41:13+00:00
remove dnn::layer::allocate in doc,category: documentation,4.10.0,2024-05-15 12:18:51+00:00,LaurentBerger,2024-05-15 14:08:52+00:00
Restored and extended Highgui test logic for small windows.,test,4.10.0,2024-05-15 10:20:46+00:00,asmorkalov,2024-05-15 11:56:01+00:00
dnn::Layer::allocate method does not exist anymore in doc,category: documentation,4.10.0,2024-05-15 08:05:27+00:00,LaurentBerger,2024-05-16 07:59:17+00:00
QRCodeEncoder segfault,question (invalid tracker),Not specified,2024-05-15 07:57:23+00:00,neonknight,2024-05-16 15:40:11+00:00
Layer::finalize doc,category: documentation,4.10.0,2024-05-15 07:31:29+00:00,LaurentBerger,2024-05-16 15:00:49+00:00
Fix `v_round` and enable unit tests for scalable universal intrinsic 64F type.,optimization,4.10.0,2024-05-15 06:03:43+00:00,hanliutong,2024-05-21 11:10:19+00:00
set policy 0148 explicitly,category: build/install,4.10.0,2024-05-14 14:26:11+00:00,FantasqueX,2024-05-16 15:43:36+00:00
imgproc: fix allocation issue in EMD,category: imgproc,4.10.0,2024-05-14 09:51:55+00:00,mshabunin,2024-05-14 13:43:02+00:00
dnn: better net exporter that works with netron,feature,4.10.0,2024-05-14 09:02:47+00:00,fengyuentau,2024-05-17 08:07:05+00:00
3rdparty: update libpng 1.6.43,category: 3rdparty,4.10.0,2024-05-14 06:24:17+00:00,sturkmen72,2024-05-22 12:45:10+00:00
Fixing the example with gpu+imshow [+opengl],Uncategorized,Not specified,2024-05-13 17:14:59+00:00,bjornborg,2024-05-28 16:07:00+00:00
Tune test parameters for new segmentation model.,test,Not specified,2024-05-13 13:53:47+00:00,asmorkalov,2024-05-13 14:00:35+00:00
Fix zlib-ng version parse,category: build/install,4.10.0,2024-05-13 11:35:58+00:00,FantasqueX,2024-05-14 14:16:26+00:00
doc: fix env change method in the environment reference,category: documentation,4.10.0,2024-05-13 11:17:48+00:00,mshabunin,2024-05-13 12:24:04+00:00
HAL for sub8x32f added,feature,4.10.0,2024-05-12 23:57:37+00:00,savuor,2024-05-20 10:19:06+00:00
Om,Uncategorized,Not specified,2024-05-10 17:59:41+00:00,motijimmy,2024-05-13 09:42:05+00:00
0/1D Einsum Layer Test,test,5.0,2024-05-10 08:10:19+00:00,Abdurrahheem,2024-05-14 12:45:56+00:00
Synchornized cv::moments documentation with actual implementation.,category: imgproc,4.10.0,2024-05-09 05:32:26+00:00,asmorkalov,2024-05-14 14:19:41+00:00
HAL for equalizeHist() added,feature,4.10.0,2024-05-08 17:40:52+00:00,savuor,2024-05-09 05:37:55+00:00
"imgproc: C-API cleanup, drawContours refactor",category: imgproc,4.10.0,2024-05-08 12:21:45+00:00,mshabunin,2024-05-17 12:01:05+00:00
Transform offset to indeces for MatND in minMaxIdx HAL,bug,4.10.0,2024-05-08 10:55:12+00:00,asmorkalov,2024-05-08 15:57:03+00:00
Unable to install OpenCV Java on Mac,question (invalid tracker),Not specified,2024-05-08 06:19:49+00:00,vivekburman,2024-05-09 10:30:14+00:00
highgui: wayland: expand image width if title bar cannot be shown,category: highgui-gui,4.10.0,2024-05-08 00:42:26+00:00,Kumataro,2024-05-15 08:00:46+00:00
highgui: wayland: Exception when showing too small width image,bug,4.10.0,2024-05-08 00:31:32+00:00,Kumataro,2024-05-15 08:00:47+00:00
Improved segmentation sample,category: samples,5.0,2024-05-07 18:41:09+00:00,gursimarsingh,2024-05-15 06:39:34+00:00
Tune sanity threshold in Moments performance test for Android aarch64,test,4.10.0,2024-05-07 15:25:29+00:00,asmorkalov,2024-05-07 16:38:06+00:00
changed order of cap in order to work with jetson orin,category: videoio,4.10.0,2024-05-07 14:39:57+00:00,Liedermaus,2024-05-17 08:23:52+00:00
Disabled conversion to float of model's input,feature,5.0,2024-05-07 10:42:45+00:00,alexlyulkov,2024-05-16 12:54:01+00:00
HAL for LUT added,feature,4.10.0,2024-05-07 10:08:04+00:00,savuor,2024-05-08 14:45:08+00:00
Fix HAL interface for hal_ni_minMaxIdx,bug,4.10.0,2024-05-07 07:16:35+00:00,asmorkalov,2024-05-07 17:46:18+00:00
The rectified image  with the pinhole model  8 parameters will have curved boundary ,question (invalid tracker),Not specified,2024-05-07 02:10:17+00:00,yunlongwang-leopard,2024-05-16 15:33:44+00:00
highgui: wayland: fix to pass highgui test,test,4.10.0,2024-05-07 01:28:01+00:00,Kumataro,2024-05-13 11:26:24+00:00
highgui: wayland: opencv_test_highgui fails,bug,4.10.0,2024-05-07 01:20:21+00:00,Kumataro,2024-05-13 11:26:26+00:00
videoio: decreased log level for failed backends in capture and writer open,category: videoio,4.10.0,2024-05-06 19:18:12+00:00,mshabunin,2024-05-07 06:01:50+00:00
AttributeError: module 'cv2.optflow' has no attribute 'writeOpticalFlow',bug,Not specified,2024-05-05 15:06:16+00:00,lulu1315,2024-05-05 16:41:39+00:00
Remove deprecated libjpeg build,category: 3rdparty,5.0,2024-05-05 10:06:32+00:00,FantasqueX,2024-05-08 12:06:13+00:00
doc: disable inheritance graphs,category: documentation,4.10.0,2024-05-03 19:13:16+00:00,mshabunin,2024-05-06 08:08:18+00:00
python: adapt test to NumPy 2.x,test,4.10.0,2024-05-03 17:15:37+00:00,mshabunin,2024-05-06 05:39:00+00:00
cv_hal_minMaxIdx has no channel count argument,bug,4.10.0,2024-05-03 16:49:32+00:00,mplatings,2024-05-07 17:46:19+00:00
Made fcn-resnet50-12.onnx model optional.,test,4.10.0,2024-05-03 13:15:11+00:00,asmorkalov,2024-05-06 05:16:51+00:00
"Can not set trackBarPos, if two trackbar in the same window",bug,4.10.0,2024-05-03 09:28:11+00:00,RichardZeenChen,2024-05-20 10:25:03+00:00
OpenCV specify environment variables inside python file wrong documentation (OPENCV_FFMPEG_READ_ATTEMPTS),bug,4.10.0,2024-05-03 09:14:18+00:00,dtraparic,2024-05-13 12:24:05+00:00
Got rid of deprecated convertFp16 in imgcodecs module.,category: imgcodecs,4.10.0,2024-05-03 08:09:15+00:00,asmorkalov,2024-05-03 09:33:36+00:00
Fix moments integration to OpenCV HAL,bug,4.10.0,2024-05-03 05:41:58+00:00,asmorkalov,2024-05-03 09:34:52+00:00
Cover NormHamming with accuracy and perfomance test,feature,4.10.0,2024-05-03 05:26:57+00:00,asmorkalov,2024-05-23 18:02:59+00:00
Add equalizeHist to OpenCV HAL,feature,4.10.0,2024-05-03 05:20:12+00:00,asmorkalov,2024-05-09 05:37:57+00:00
OpenCV(5.0.0-pre) Error: Unsupported format or combination of formats (Failed to parse onnx model from in-memory byte array.),bug,Not specified,2024-05-02 20:11:42+00:00,LaurentBerger,2024-05-20 11:56:57+00:00
Fixed SyntaxWarning: invalid escape sequence '\w' in header parser.,category: python bindings,4.10.0,2024-05-02 17:38:56+00:00,asmorkalov,2024-05-03 05:01:14+00:00
[regression between 4.6.0 and 4.9.0] Build breaks on FreeBSD/arm64: modules/core/src/system.cpp:573:13: error: unknown type,bug,4.10.0,2024-05-02 16:05:25+00:00,yurivict,2024-06-01 06:39:01+00:00
Fixed a typo in text_detection.cpp,category: samples,4.10.0,2024-05-02 15:43:53+00:00,NlSEMONO,2024-05-03 11:44:32+00:00
improvements on tests of imagecodecs module,test,4.10.0,2024-05-02 15:40:40+00:00,sturkmen72,2024-05-17 08:37:12+00:00
Added more OpenVINO layers to dnn,feature,4.10.0,2024-05-02 11:41:28+00:00,alexlyulkov,2024-05-03 10:16:56+00:00
videoio: obsensor: remove OB_EXT_CMD10 to suppress warning,category: videoio,4.10.0,2024-05-02 05:00:04+00:00,Kumataro,2024-05-02 11:40:28+00:00
"videoio: obsensor: OB_EXT_CMD10 is defined, but unused.",bug,4.10.0,2024-05-02 04:55:30+00:00,Kumataro,2024-05-02 11:40:29+00:00
python cv2.norm() on any images hangs - deadlock?,bug,Not specified,2024-05-01 23:46:43+00:00,mcdamo,2024-05-03 01:18:23+00:00
Fixed OpenVINO gemm layer,feature,4.10.0,2024-05-01 10:01:07+00:00,alexlyulkov,2024-05-14 14:41:19+00:00
GaussianBlur different results between c++ and python,invalid,Not specified,2024-04-30 11:58:44+00:00,jbyuki,2024-05-01 06:40:31+00:00
Fix doc about uniform parameter for imgproc calcBackProject function,category: documentation,4.10.0,2024-04-30 08:59:32+00:00,xndcn,2024-05-01 18:03:01+00:00
fix statckblur big kernel case,bug,4.10.0,2024-04-30 07:26:30+00:00,zihaomu,2024-05-01 07:06:45+00:00
Version 4.9 ，The inference results of the ONNX model differ between GPU inference and CPU inference.,bug,Not specified,2024-04-30 04:02:46+00:00,123467895,2024-05-05 14:45:31+00:00
HAL for projectPoints() added,category: calib3d,4.10.0,2024-04-30 02:22:42+00:00,savuor,2024-05-20 07:42:18+00:00
highgui: wayland: support imshow() without pre-calling namedWindow(),category: highgui-gui,4.10.0,2024-04-30 01:07:10+00:00,Kumataro,2024-05-02 11:41:14+00:00
HAL added for Otsu threshold,feature,4.10.0,2024-04-29 23:54:23+00:00,savuor,2024-05-02 17:50:08+00:00
HAL mul8x8to16 added,feature,4.10.0,2024-04-29 01:48:47+00:00,savuor,2024-05-20 07:43:19+00:00
Suggestion for a more explicit `version_string.tmp` filename,feature,Not specified,2024-04-28 17:45:49+00:00,s-trinh,2024-05-25 18:44:12+00:00
Remove goturn caffe model,category: video,5.0,2024-04-28 13:50:08+00:00,WanliZhong,2024-05-06 08:57:30+00:00
highgui: wayland: reduce cpu usage for cv::waitKey(),bug,4.10.0,2024-04-28 10:25:15+00:00,Kumataro,2024-04-30 08:45:03+00:00
highgui: wayland: too high cpu usage,bug,Not specified,2024-04-28 10:03:37+00:00,Kumataro,2024-04-30 08:45:04+00:00
stackBlur caused the program to crash,bug,Not specified,2024-04-27 11:50:10+00:00,LiuPeiqiCN,2024-05-01 07:06:46+00:00
highgui: wayland:  imshow() doesn't create window automatically if no namedWindow(),bug,Not specified,2024-04-27 09:26:43+00:00,Kumataro,2024-05-02 11:41:16+00:00
"highgui: wayland: show ""NO"" status if dependency is missing",category: highgui-gui,4.10.0,2024-04-27 05:50:37+00:00,Kumataro,2024-04-29 15:58:30+00:00
"highgui: wayland: if dependency is missing, ""NO"" message will help to install them.",feature,Not specified,2024-04-27 05:44:58+00:00,Kumataro,2024-04-29 15:58:31+00:00
Replace static numpy allocator by function containing static.,feature,4.10.0,2024-04-26 12:40:02+00:00,vrabaud,2024-04-27 10:13:53+00:00
Fixed ONNX Range layer to support any input type,bug,5.0,2024-04-26 09:45:32+00:00,alexlyulkov,2024-04-26 15:59:43+00:00
HAL for Hamming norm added,feature,4.10.0,2024-04-25 23:17:47+00:00,savuor,2024-04-27 11:38:45+00:00
Added moments interface to HAL.,category: imgproc,4.10.0,2024-04-25 13:43:58+00:00,asmorkalov,2024-04-26 08:14:19+00:00
Add moments to HAL,feature,4.10.0,2024-04-25 13:41:07+00:00,asmorkalov,2024-04-26 16:02:35+00:00
Fix documentation for findEssentialMat to reflect how it actually works.,category: documentation,4.10.0,2024-04-24 18:58:48+00:00,inkredibl,2024-04-25 08:05:17+00:00
Additional fixes to 0/1D tests,test,5.0,2024-04-24 17:03:58+00:00,Abdurrahheem,2024-05-15 07:50:03+00:00
Fixed build warnings introduced in #24938,category: build/install,4.10.0,2024-04-24 14:24:53+00:00,asmorkalov,2024-04-25 08:23:55+00:00
imgproc: improved test for boundingRect,bug,4.10.0,2024-04-24 12:33:41+00:00,mshabunin,2024-05-07 05:58:07+00:00
HAL API for meanStdDev,feature,4.10.0,2024-04-24 08:01:35+00:00,asmorkalov,2024-05-06 05:19:44+00:00
missing opencv2/xfeature2D in ubuntu 22 packages,bug,Not specified,2024-04-24 07:32:34+00:00,Dharmesh946,2024-04-24 09:45:33+00:00
Flowchart of class template does not properly horizontally scale,category: documentation,5.0,2024-04-24 05:41:20+00:00,w-utter,2024-05-06 08:08:19+00:00
Add logs of test failure to `test_onnx_conformance_layer_filter_opencv_all_denylist.inl.hpp`,test,5.0,2024-04-23 19:40:14+00:00,Abdurrahheem,2024-04-24 08:42:04+00:00
Rectified header inclusion bug for automation ease,wontfix,Not specified,2024-04-23 16:53:47+00:00,rajatbh21,2024-04-23 23:56:36+00:00
Can't use moveWindow() using Ubuntu 22.04 using WAYLAND but can using X11 for desktop environment,bug,Not specified,2024-04-23 14:09:02+00:00,Digital1O1,2024-05-14 10:04:00+00:00
Add meanStdDev to OpenCV HAL,feature,4.10.0,2024-04-23 12:27:41+00:00,asmorkalov,2024-05-06 05:19:45+00:00
Add more variations of Sub to HAL interface,feature,Not specified,2024-04-23 12:26:25+00:00,asmorkalov,2024-05-23 06:11:48+00:00
Add HAL API for getPerspecitveTransform,feature,4.10.0,2024-04-23 11:17:00+00:00,asmorkalov,2024-04-25 08:42:26+00:00
Add Hamming distance to OpenCV HAL,feature,4.10.0,2024-04-23 11:11:21+00:00,asmorkalov,2024-04-27 11:38:46+00:00
Test_ONNX_conformance.Layer_Test/test_gemm_default_matrix_bias_NGRAPH_CPU crashes,bug,4.10.0,2024-04-22 12:53:22+00:00,asmorkalov,2024-05-14 14:41:20+00:00
"The add layer of DNN does not support broadcasting with different dimensions, causing my model import to fail.",bug,4.10.0,2024-04-22 10:28:27+00:00,Zhang-Yang-Sustech,2024-04-27 14:39:25+00:00
