Name,Type,Version,Date Appear
Incorporating optimisations to GaussianBlur and Filter2D operations,feature,Not specified,2024-06-01 17:04:06+00:00
ocl compile error on imgproc/remap,bug,Not specified,2024-05-31 16:43:32+00:00
macOS arm64 build cannot be linked,bug,Not specified,2024-05-31 05:41:03+00:00
Connect webcam with its Alternative name,feature,Not specified,2024-05-31 04:57:44+00:00
windows error: invalid cast from type 'pthread_t' {aka 'ptw32_handle_t'} to type 'void*,bug,Not specified,2024-05-30 14:39:05+00:00
minMaxIdx: new HAL signature,bug,4.11.0,2024-05-29 16:04:49+00:00
Improved person reid cpp and python sample,category: samples,5.0,2024-05-29 12:04:47+00:00
findContours inner holes has problems with their corners,bug,4.11.0,2024-05-29 11:51:54+00:00
Framebuffer,feature,4.11.0,2024-05-28 08:49:25+00:00
"added ximgproc edgedrawing to opencvjs, ",incomplete,Not specified,2024-05-27 21:39:11+00:00
Does example source have rows and columns switched?,category: documentation,Not specified,2024-05-27 21:10:09+00:00
"Removing ""break"" statements from While loop - calib3d, USAC source code",invalid,Not specified,2024-05-27 06:27:15+00:00
[GSoC] dnn: Blockwise quantization support ,GSoC,Not specified,2024-05-25 12:20:50+00:00
replace lena.jpg in find-existing-file tests,Uncategorized,Not specified,2024-05-25 08:05:26+00:00
Delete lena.jpg and any use of it from the JS tutorials,Uncategorized,Not specified,2024-05-24 22:52:30+00:00
Problem with video time varying depending on brightness,question (invalid tracker),Not specified,2024-05-24 08:31:24+00:00
Replacing the Lena image from the documentation,category: documentation,Not specified,2024-05-24 01:38:26+00:00
dnn: parallelize nary elementwise forward implementation & enable related conformance tests,optimization,4.11.0,2024-05-23 10:13:11+00:00
"HAL added for add(array, scalar)",Uncategorized,4.11.0,2024-05-23 01:52:33+00:00
Support for lowpass/anti-alias enabled resizing operations to support preprocessing operations for models trained with torchvision,feature,Not specified,2024-05-22 10:44:24+00:00
AttributeError: module 'cv2.dnn' has no attribute 'DictValue',bug,Not specified,2024-05-21 08:03:03+00:00
[WIP] WebP animation support,feature,4.11.0,2024-05-19 19:20:24+00:00
Add a new function that approximates the polygon bounding a convex hull with a certain number of sides,feature,4.11.0,2024-05-19 15:45:56+00:00
Handle BGRA streams in GStreamer backend,feature,4.11.0,2024-05-17 08:23:17+00:00
Switch to FindPython3 in CMake (policy 0148),feature,4.11.0,2024-05-16 14:59:53+00:00
Mesh Clustering for 3D Module,category: 3d module,Not specified,2024-05-16 12:54:42+00:00
Open VideoCapture from memory buffer,feature,4.11.0,2024-05-14 12:26:25+00:00
Convert single layer caffe tests to onnx format,test,5.0,2024-05-14 08:29:35+00:00
"when create new Mat with multi-channels(i.e., 8) with the particular value(i.e. 0.9), it will raise error (error: (-215:Assertion failed) cn <= 4 in function 'scalarToRawData')",bug,5.0,2024-05-13 07:51:25+00:00
get a classifier cascade parameters from original Cascase XML file,question (invalid tracker),Not specified,2024-05-12 09:25:52+00:00
Is it possible to raise cmake_minimum_version in opencv 5.0?,feature,Not specified,2024-05-11 13:54:21+00:00
Om object track,question (invalid tracker),Not specified,2024-05-10 18:09:55+00:00
Use zlib target instead of ZLIB_INCLUDE_DIRS and ZLIB_LIBRARIES,category: build/install,Not specified,2024-05-10 17:08:50+00:00
core (opencl): CLBlast integration via dyanmic loading,optimization,4.11.0,2024-05-10 09:37:56+00:00
parallel_for_ flagNestedParallelFor cause multi task in difference thread may not parallel,bug,Not specified,2024-05-07 13:02:06+00:00
Change classic caffe models related tests and samples to onnx format,test,5.0,2024-05-06 14:53:08+00:00
Several videoio MPEG encoding tests fails with Gstreamer on Ubuntu 24.04,bug,4.11.0,2024-05-06 13:48:21+00:00
findHomography returns bad homography and ouliers in the inlier mask,bug,4.11.0,2024-05-06 06:40:46+00:00
"bug when build opencv: QT 6.7, UNICODE, __itt_domain_create",bug,4.11.0,2024-05-05 04:16:53+00:00
Off by ~0.5 pixel error in `cv2.aruco.CharucoDetector` compared to `cv2.findChessboardCorners`,bug,4.11.0,2024-05-03 16:26:28+00:00
Some dnn tests doesn't work with OpenVINO 2024.0.0,bug,Not specified,2024-05-03 07:17:55+00:00
Strange behaviour with OpenVINO and int64 custom layers,bug,5.0,2024-05-03 07:03:43+00:00
Add bigvision copyright,Uncategorized,Not specified,2024-05-01 13:28:12+00:00
Improved classification sample,category: samples,5.0,2024-05-01 12:58:24+00:00
wrong 【】,invalid,Not specified,2024-04-30 17:17:53+00:00
Improved edge detection sample,category: samples,5.0,2024-04-30 11:46:50+00:00
G-API OV backend requires partial shape support,bug,4.11.0,2024-04-29 11:57:49+00:00
Fix CharuCo slowdown,Uncategorized,Not specified,2024-04-29 07:08:16+00:00
Resizing the window doesn't properly scale the image within.,bug,Not specified,2024-04-28 17:36:32+00:00
V4l default image size,category: videoio(camera),4.11.0,2024-04-27 16:24:33+00:00
AVMATRIX VC42 capture board: Pixel format of incoming image is unsupported by OpenCV,bug,4.11.0,2024-04-27 16:17:01+00:00
G-API: Extend ITT traces coverage,category: g-api / gapi,4.11.0,2024-04-26 16:51:20+00:00
Inconsistent shape for ConcatLayer in function 'getMemoryShapes' while reading onnx model,bug,5.0,2024-04-24 13:02:45+00:00
interpolation blend colors even when fully transparent,question (invalid tracker),Not specified,2024-04-23 00:27:28+00:00
Test_ONNX_conformance.Layer_Test/test_nllloss_NCd1d2d3d4d5_none_no_weight_expanded_CUDA_CUDA crashes,bug,5.0,2024-04-22 12:18:46+00:00
Inconsistent and unexpected behavior of cv.multiply() function with color images across OpenCV versions (4.5 to 4.8 vs. 4.9),bug,Not specified,2024-04-20 14:52:30+00:00
Move Darknet importer and caffe importer in opencv_contrib,feature,Not specified,2024-04-19 13:18:03+00:00
Error on Compiling OpenCV cuda,bug,Not specified,2024-04-19 12:24:02+00:00
Build with MPS?,feature,Not specified,2024-04-18 11:15:43+00:00
ENABLE_NEON=OFF is not disabling the baseline in armv7l,question (invalid tracker),Not specified,2024-04-18 11:05:37+00:00
How can i use the PlaneWarperGpu?,category: documentation,Not specified,2024-04-18 08:04:57+00:00
Cannot read a tensorflow model,bug,Not specified,2024-04-17 18:41:24+00:00
"OpenCL code for BFMatcher throws with w Intel Iris, works w NVidia A2000",bug,Not specified,2024-04-17 16:03:15+00:00
DNN: CUDA backend requires cuDNN.  Please resolve dependency or disable OPENCV_DNN_CUDA=OFF,bug,Not specified,2024-04-16 19:32:50+00:00
Add CORP header to opencv.js,category: infrastructure,Not specified,2024-04-16 18:55:31+00:00
"OpenCV-Python Bindings, vector<>, Matx<> conversion",feature,Not specified,2024-04-15 15:55:25+00:00
vcpkg support for version 4.9.0,feature,Not specified,2024-04-15 14:20:27+00:00
Add videocapture_depth.cpp sample,category: samples,5.0,2024-04-14 07:21:16+00:00
[doc] use 1D (row-only or column only) filter,category: documentation,Not specified,2024-04-13 07:30:42+00:00
in place convertTo,optimization,4.11.0,2024-04-11 09:31:14+00:00
Integrating OpenCV with FastAPI and Redis RQ Causes Task/Job Failures,bug,Not specified,2024-04-10 09:34:51+00:00
Unexpect error when invoke cv2.sampsonDistance,bug,Not specified,2024-04-08 09:12:32+00:00
crash and Unknown C++ exception when I invoke cv2.validateDisparity,bug,Not specified,2024-04-08 01:11:22+00:00
VideoWriter (ffmpeg 5.0.1) for h.264 (AVC1) systematical color change,bug,Not specified,2024-04-07 14:12:19+00:00
I can't build opencv.js,feature,Not specified,2024-04-06 20:27:43+00:00
cv::fisheye::distortPoints is not documented fully,category: documentation,Not specified,2024-04-06 00:41:28+00:00
Fisheye lens documentation is very confusing,category: documentation,Not specified,2024-04-05 22:42:12+00:00
Videocapture samples cleanup cpp,category: samples,5.0,2024-04-05 14:25:56+00:00
Improve python sample/ javascript sample code for computing and visualisation of dense-flow,category: documentation,Not specified,2024-04-05 13:26:45+00:00
reduced redundant multiplication operations of ICAngles in orb.cpp,optimization,4.11.0,2024-04-05 02:39:57+00:00
"be able to ingest 10bit and 12 bit color streams, videos and photos",feature,Not specified,2024-04-04 08:54:03+00:00
Improved and refactored text detection sample in dnn module,category: samples,5.0,2024-04-03 12:59:16+00:00
dnn: remove Caffe importer for 5.0,category: dnn,5.0,2024-04-03 07:14:08+00:00
gapi accuracy test timeout sporadically: InferList.TestStreamingInfer,bug,4.11.0,2024-04-03 06:18:36+00:00
Unexpected error when call cv2.projectPoints,bug,Not specified,2024-04-03 03:59:03+00:00
error: (-215:Assertion failed) (int)detectedCharucoVecMat[i].total() * detectedCharucoVecMat[i].channels() == 2 in function 'cv::aruco::CharucoBoardImpl::matchImagePoints',Uncategorized,Not specified,2024-04-02 21:00:58+00:00
Segmentation fault on ParallelLoopBodyWrapperContext::finalize with ENABLE_INSTRUMENTATION=ON,bug,Not specified,2024-04-02 19:10:03+00:00
Disable Tests for Unsupported ONNX Models in Caffe removal ,category: dnn,5.0,2024-04-02 17:57:15+00:00
Compilation error with C++17 standard,bug,Not specified,2024-04-02 17:43:04+00:00
Drop Haar Cascades from OpenCV 5.x Javascript bindings,bug,5.0,2024-04-02 14:31:31+00:00
imwrite return value documentation,category: documentation,Not specified,2024-04-02 10:51:18+00:00
CUDA version check,feature,Not specified,2024-04-01 11:20:37+00:00
Support more ops in .tflite format,feature,Not specified,2024-03-29 13:53:11+00:00
error detecting MSVC preview compiler version,bug,Not specified,2024-03-29 10:57:04+00:00
features2d cleanup: Move several feature detectors and descriptors to opencv_contrib,cleanup,5.0,2024-03-29 07:37:28+00:00
"Unable to execute cv2.imshow() the second time in Linux, works in Windows",bug,Not specified,2024-03-29 07:05:00+00:00
static cv::Mutex in function getPooledInstance() hurt multithreading perfermance,bug,Not specified,2024-03-28 08:00:04+00:00
Removed obsolete python samples,category: samples,5.0,2024-03-25 11:15:22+00:00
crash when invoke cv2.intersectConvexConvex,bug,4.11.0,2024-03-25 00:18:25+00:00
Missing typing stub: cv2.SIFT_create(),bug,4.11.0,2024-03-22 15:01:35+00:00
removing obsolete cpp samples as part of samples cleanup,category: samples,Not specified,2024-03-22 11:09:19+00:00
OpenCV conflict problem for Window popup,bug,Not specified,2024-03-22 05:41:30+00:00
Lens distortion documentation unclear,category: documentation,Not specified,2024-03-22 03:07:20+00:00
imwrite() to TIFF does not use COMPRESSION_SGILOG for 32FC1 (only 32FC3),feature,4.11.0,2024-03-21 10:03:22+00:00
Buildroot cross compile on Debian12 + ccache: fatal error: stdlib.h: No such file or directory ,bug,Not specified,2024-03-21 08:25:40+00:00
Possible bug / precision issue in normalize(),question (invalid tracker),Not specified,2024-03-21 08:24:06+00:00
cv2.CAP_ANY (MSMF) not support high resolution webcam,bug,Not specified,2024-03-21 07:44:53+00:00
"When binding APIs in opencv.js, corresponding structs/enums should be bound",bug,4.11.0,2024-03-20 14:45:46+00:00
terminate called after throwing an instance of 'cv::Exception'   what():  OpenCV(4.5.4) ./modules/dnn/src/onnx/onnx_importer.cpp:739: error: (-2:Unspecified error) in function 'handleNode' > Node [Identity]:(onnx::Reshape_395) parse error: OpenCV(4.5.4) ./modules/dnn/src/dnn.cpp:5653: error: (-215:Assertion failed) inputs.size() in function 'getMemoryShapes',bug,Not specified,2024-03-19 11:19:37+00:00
global cap_gstreamer.cpp:1164 isPipelinePlaying OpenCV | GStreamer warning: GStreamer: pipeline have not been created,question (invalid tracker),Not specified,2024-03-16 13:58:59+00:00
Caught an exception trying to run inference:,question (invalid tracker),Not specified,2024-03-16 08:03:46+00:00
"in Android 11 & 12, it is showing black screen and no callback is listening or showing any logs for CvCameraViewListener2",bug,Not specified,2024-03-15 19:19:41+00:00
Improve FileStorage documentation,feature,Not specified,2024-03-15 13:36:31+00:00
CMake Error at cuda_compile_1_generated_gpu_mat.cu.o.RELEASE.cmake:222 (message):,question (invalid tracker),Not specified,2024-03-14 10:26:10+00:00
TrackerNano lacks cuda support. ,feature,Not specified,2024-03-12 13:10:40+00:00
Disable Tests for Unsupported ONNX Models in Darknet,category: dnn,5.0,2024-03-12 08:51:41+00:00
Charuco detection has slowed down considerably since 4.6.0,bug,Not specified,2024-03-08 15:18:54+00:00
not declared in this scope,bug,Not specified,2024-03-08 09:32:48+00:00
OpenCV: Using setDefaultAllocator() with custom allocator calls allocate() but not deallocate() - why?,bug,Not specified,2024-03-07 14:11:40+00:00
sepFilter2D insufficient shared (device) memory when using UMat,bug,4.11.0,2024-03-07 10:32:34+00:00
CMake gapi option WITH_FREETYPE seems to be ignored,bug,Not specified,2024-03-06 15:36:10+00:00
cv::Mat reshape does not support 1d and 0d arrays,bug,5.0,2024-03-06 15:27:06+00:00
Support decompression of tiled JPEG2000 images ,feature,Not specified,2024-03-06 13:56:25+00:00
Strange behaviour of cv2.add operation,bug,Not specified,2024-03-06 01:26:25+00:00
Oak-D DepthAI with OpenCV 4.9.0 on Windows,bug,Not specified,2024-03-05 18:26:10+00:00
Implement TSDF integration weighting,feature,5.0,2024-03-05 05:20:01+00:00
Try to speed up HashTSDF raycasting using triangle rasterization,feature,5.0,2024-03-05 04:59:58+00:00
Properly implement GPU support for HashTSDF,feature,Not specified,2024-03-05 04:47:21+00:00
Implement color support for HashTSDF,feature,Not specified,2024-03-05 04:35:33+00:00
Make odometry algorithm parameters orthogonal,feature,Not specified,2024-03-05 04:26:53+00:00
Color TSDF rendering is noisy,bug,Not specified,2024-03-05 03:50:10+00:00
我在mac系统上安装最新版本的opencv时，brew install --build-from-source opencv 报错 ,invalid,Not specified,2024-03-05 03:38:25+00:00
Depth interpolation by triangle rasterization,feature,Not specified,2024-03-05 02:55:03+00:00
Implement minimum spanning tree,feature,Not specified,2024-03-05 01:53:11+00:00
dnn: accelerate gelu via vectorized erf,optimization,4.11.0,2024-03-04 08:10:54+00:00
cv2.error: in function 'cv::cornerSubPix',bug,Not specified,2024-03-02 12:14:06+00:00
crash when run more times,bug,Not specified,2024-03-02 01:02:17+00:00
cv2.pyrDown breaks the symmetry and shifts the data to the bottomright corner,bug,Not specified,2024-03-01 10:09:55+00:00
telecentric calibration,feature,Not specified,2024-03-01 08:14:06+00:00
"cv2.VideoCapture(pipeline, cv2.CAP_GSTREAMER) Error",bug,Not specified,2024-02-29 02:24:09+00:00
No attribute axes in reduce onnx layer with opset13,bug,4.11.0,2024-02-28 13:35:28+00:00
python - can't call fastnlmeansdenoisingmulti on 16 bit frames from video,bug,Not specified,2024-02-27 23:46:10+00:00
Python API: Support MemoryView objects,feature,5.0,2024-02-27 20:25:44+00:00
Default DNN backend not set correctly,bug,4.11.0,2024-02-27 13:25:19+00:00
Implement int/int64 support in Vulkan backend for DNN,feature,5.0,2024-02-27 08:27:32+00:00
cv2.solvePnPRansac may be buggy,bug,Not specified,2024-02-26 12:40:26+00:00
1D test for Reduce layer,category: dnn,5.0,2024-02-26 10:19:56+00:00
solvePnP SOLVEPNP_ITERATIVE falsely indicates success in simple test case,bug,4.11.0,2024-02-26 01:40:17+00:00
1D inputs fail on DataLayer,bug,5.0,2024-02-22 11:14:41+00:00
Number of scales in DISFlow,feature,4.11.0,2024-02-22 08:02:36+00:00
Could cv::Mat be nothrow movable?,feature,Not specified,2024-02-21 16:59:37+00:00
Build opencv.js can not use,bug,Not specified,2024-02-21 06:16:15+00:00
Windows ARM build is broken for FP16 arithmetics,bug,4.11.0,2024-02-20 09:39:52+00:00
bmp file returning None instead of np array,feature,Not specified,2024-02-19 17:13:53+00:00
[Documentation] Revise calib3d main page,category: documentation,4.11.0,2024-02-19 05:38:51+00:00
Fix bias in HoughLines with even number of rho discretization steps #25038,bug,4.11.0,2024-02-16 22:16:02+00:00
Request to community: please help us to choose minimum C++ standard for OpenCV 5.0,feature,5.0,2024-02-16 16:12:37+00:00
Biased result when calling HoughLines with even number of disretization steps for rho,bug,4.11.0,2024-02-16 13:56:38+00:00
 Add border value parameter for border mode constant to Sobel,feature,4.11.0,2024-02-15 17:32:33+00:00
Add border value parameter for border mode constant to GaussianBlur,feature,4.11.0,2024-02-15 17:31:50+00:00
Generalized Histogram Thresholding,feature,Not specified,2024-02-15 12:58:57+00:00
video(test): filter very long debug tests,test,4.11.0,2024-02-15 07:25:22+00:00
Introducing non-CPU HAL for OpenCV 5+,feature,5.0,2024-02-14 14:23:07+00:00
WIP: Add Charuco board support to multiview calibration sample (C++),category: calib3d,5.0,2024-02-14 12:33:56+00:00
New CPU HAL for OpenCV 5.0,feature,5.0,2024-02-13 21:09:42+00:00
cv2.inter_linear_exact behaves differently on m2 vs intel.,bug,4.11.0,2024-02-13 18:24:10+00:00
Segmentation fault with connected components with large images (37564 x 73862 pxl),bug,Not specified,2024-02-13 11:01:08+00:00
`detail_BundleAdjusterRay` error: `error: (-215:Assertion failed) !err.empty() in function 'update'`,bug,Not specified,2024-02-13 01:18:16+00:00
New shiny Imgproc module for OpenCV 5.0,feature,5.0,2024-02-12 22:38:40+00:00
New shiny Core module for OpenCV 5.0,feature,5.0,2024-02-12 20:40:23+00:00
Big OpenCV Cleanup,feature,5.0,2024-02-12 15:10:51+00:00
Clean samples,feature,5.0,2024-02-12 15:04:50+00:00
Modernize CMake to CMake3,category: build/install,Not specified,2024-02-12 14:35:45+00:00
Several DNN tests fails with concat_axis assertion in 5.x with OpenVINO,bug,5.0,2024-02-12 14:10:19+00:00
Clean Core module,feature,5.0,2024-02-12 14:01:22+00:00
Clean Imgproc module,feature,5.0,2024-02-12 13:26:57+00:00
Move G-API to opencv_contrib or into a separate repository at github/opencv,feature,5.0,2024-02-12 13:02:05+00:00
"Clean Features2D, rename it to Features",feature,5.0,2024-02-12 12:36:31+00:00
Replace FLANN w. nanoflann/Annoy and merge it with Features[2D],feature,5.0,2024-02-12 12:23:15+00:00
Move IPP to opencv/3rdparty (just like Carotene),feature,5.0,2024-02-12 11:57:24+00:00
Remove OpenVX,feature,5.0,2024-02-12 11:54:38+00:00
use standard C++ types in API,feature,5.0,2024-02-12 11:51:05+00:00
Opencv.js --threads how to compleatly release memory when refreshing page?,bug,Not specified,2024-02-09 17:41:17+00:00
Parsing ONNX with AND layer fails.,bug,5.0,2024-02-08 09:28:41+00:00
All different shapes of circles depending on the method,question (invalid tracker),Not specified,2024-02-08 08:28:52+00:00
findCirclesGrid can't detect some asymmetric grids,bug,4.11.0,2024-02-06 09:51:50+00:00
invalid JS export generated,category: javascript (js),Not specified,2024-02-06 09:12:25+00:00
HDR CalibrateDebevec: triangleWeights() should be 0 at limits,bug,4.11.0,2024-02-05 13:38:37+00:00
Logical defect in FilterSpecklesImpl,bug,4.11.0,2024-02-05 03:33:36+00:00
5.x: Recreate deleted C-API tests in C++,bug,5.0,2024-02-02 19:27:18+00:00
Issue in opencv 4.8.1 in combination with gocv (0.35.0),question (invalid tracker),Not specified,2024-01-30 23:16:31+00:00
Add support for v_exp (exponential),optimization,4.11.0,2024-01-30 15:14:49+00:00
"GpuMat::convertTo( cv::cuda::GpuMat, CV_16FC3); ",category: gpu/cuda (contrib),Not specified,2024-01-29 13:45:54+00:00
OpenCV 4.9.0 Huawei CANN support error: CANN graph check failed in function 'compileCannGraph',bug,Not specified,2024-01-29 11:04:07+00:00
Fix rectangle rounding in cvGetOptimalNewCameraMatrix.,bug,4.11.0,2024-01-26 12:54:14+00:00
[ERROR:0@0.391] global obsensor_uvc_stream_channel.cpp:159 cv::obsensor::getStreamChannelGroup Camera index out of range.... THIS IS THE ERROR IM FACING WHAT SHOULD I DO TO SOLVE IT,invalid,Not specified,2024-01-26 05:46:55+00:00
DNN: Overflow Errors with large image sizes,bug,4.11.0,2024-01-23 16:06:57+00:00
Deprecate convertFp16() in favor of convertTo() with CV_16F,category: core,4.11.0,2024-01-23 06:51:49+00:00
Drop matrix expressions support in 5.x branch,category: core,5.0,2024-01-23 06:41:31+00:00
Incorrect convex hull for contour.,bug,Not specified,2024-01-22 16:56:30+00:00
Make BarcodeDetector resolution invariant,feature,Not specified,2024-01-22 11:50:37+00:00
Document cv::Mat::type bits layout,category: documentation,Not specified,2024-01-22 10:24:11+00:00
core: Failed Core_Xor/ElemWiseTest.accuracy in debug build (5.x),bug,5.0,2024-01-21 01:40:10+00:00
cv::cartToPolar does not support inplace processing,optimization,Not specified,2024-01-19 17:00:15+00:00
"Extend norm() function to support new types: CV_64U, CV_64S and CV_32U",feature,Not specified,2024-01-19 09:08:13+00:00
ipa size,wontfix,Not specified,2024-01-19 07:08:33+00:00
NDK21 build with opencv-3.4.1-android-sdk and dlib build error,question (invalid tracker),Not specified,2024-01-17 11:09:53+00:00
Most hand-eye calibration methods don't work,bug,4.11.0,2024-01-16 21:43:09+00:00
i am using flask for my vedio streeming and my opencv version is 3.6.0 i have this error how to solve this,question (invalid tracker),Not specified,2024-01-16 06:46:03+00:00
samples\opencl\opencl-opencv-interop.cpp build error.,bug,Not specified,2024-01-16 03:31:36+00:00
undefined reference to `__aarch64_ldadd8_acq_rel - Opencv 4.9.0,bug,Not specified,2024-01-13 01:00:31+00:00
Support image animations,feature,Not specified,2024-01-12 13:42:47+00:00
FAST cv2.KeyPoint,feature,Not specified,2024-01-12 10:09:58+00:00
Make use of C++11 std::aligned_alloc where available,category: core,Not specified,2024-01-10 15:18:39+00:00
Memory Accumulation on FaceDetectorYN class,bug,Not specified,2024-01-09 11:23:32+00:00
ROI returned by cvGetOptimalNewCameraMatrix has wrong width & height,bug,4.11.0,2024-01-08 19:25:34+00:00
OpenCV core shared library load speed is extremely slow,bug,Not specified,2024-01-07 21:09:02+00:00
imgcodecs: Support Quite OK Image Format,feature,Not specified,2024-01-07 07:15:50+00:00
imgcodecs: Support Quite OK Image format(QOI),feature,Not specified,2024-01-07 06:54:41+00:00
Same code work well in Android App，but error in adb shell,bug,4.11.0,2024-01-06 15:15:03+00:00
build error on x86_64,bug,Not specified,2024-01-02 05:29:51+00:00
imwrite_('1.jpg'): can't write data: unknown exception,question (invalid tracker),Not specified,2023-12-29 07:06:43+00:00
Add cv::resize to copyFromOV to fix gaze_estimation_demo with API2.0,category: g-api / gapi,4.11.0,2023-12-28 18:40:48+00:00
cv2.VideoWriter fails to write *.mp4 video files,question (invalid tracker),Not specified,2023-12-28 08:15:43+00:00
dnn: remove Darknet importer for 5.0,category: dnn,5.0,2023-12-27 16:55:07+00:00
avcodec_get_context_defaults3 from ffmpeg is deprecated,bug,Not specified,2023-12-26 11:20:29+00:00
G-API: MSVS 2019 32-bit build warnings (2023-12-25),bug,Not specified,2023-12-25 03:14:22+00:00
"ARMv7 With NEON, ""Imgproc_Hist_Compare"" is failed.",bug,Not specified,2023-12-24 04:34:03+00:00
dnn cann: support more operators for SAM,feature,4.11.0,2023-12-23 09:50:36+00:00
"video stream stiching ,error : stiching failed status :3",bug,Not specified,2023-12-22 11:26:13+00:00
Java test org.opencv.test.calib3d.Calib3dTest sporadically fails on CI,bug,4.11.0,2023-12-21 07:27:07+00:00
Video stream stitching,feature,Not specified,2023-12-20 06:44:39+00:00
Access violation under Windows 11 but not with Windows 10,bug,Not specified,2023-12-17 14:48:18+00:00
Yolo Object Detection API,RFC,4.11.0,2023-12-12 18:35:43+00:00
